,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
101,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
102,google,"Mountain View, CA",Former Employee - SRE,5.0,2.0,4.0,4.0,5.0,2.0,0,2018.0
103,google,"Mountain View, CA",Former Employee - Anonymous Employee,3.0,2.0,3.0,2.0,5.0,3.0,2,2018.0
104,google,"New York, NY",Former Employee - Anonymous Employee,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
105,google,"Seattle, WA",Former Employee - Test Manager,5.0,5.0,5.0,4.0,5.0,3.0,0,2018.0
106,google,"Irvine, CA",Current Employee - Anonymous Employee,3.0,4.0,4.0,5.0,4.0,4.0,0,2018.0
107,google,"New York, NY",Current Employee - Software Engineer,5.0,4.0,5.0,4.0,4.0,4.0,0,2018.0
108,google,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
109,google,"Mountain View, CA",Current Employee - Strategic Partner Development Lead,4.0,5.0,4.0,3.0,5.0,4.0,0,2018.0
110,google,"San Francisco, CA",Current Employee - Software Engineer,4.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
111,google,"Mountain View, CA",Former Employee - Intern,4.0,4.0,4.4,4.0,4.4,3.9,1,2018.0
112,google,"Mountain View, CA",Current Employee - Anonymous Employee,1.0,1.0,1.0,1.0,4.4,1.0,7,2018.0
113,google,"Blacksburg, VA",Former Employee - Anonymous Employee,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
114,google,"Los Angeles, CA",Current Employee - Software Engineer,5.0,5.0,3.0,1.0,5.0,3.0,0,2018.0
115,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
116,google,"Mountain View, CA",Former Employee - SMB Account Executive,4.0,4.0,5.0,4.0,4.0,5.0,0,2018.0
117,google,"New York, NY",Former Employee - Regional Sales Director,5.0,2.0,4.0,5.0,4.0,5.0,1,2018.0
118,google,"Mountain View, CA",Former Employee - Director,4.0,4.0,5.0,3.0,5.0,5.0,6,2018.0
119,google,"San Francisco, CA",Current Employee - Anonymous Employee,4.0,4.0,5.0,5.0,5.0,5.0,4,2018.0
120,google,"Mountain View, CA",Current Employee - Head of A Department,3.0,3.0,4.0,3.0,2.0,3.0,2,2018.0
121,google,"New York, NY",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
122,google,"New York, NY",Current Employee - Customer Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
123,google,"Chicago, IL",Former Employee - Support Specialist,4.0,3.0,5.0,4.0,5.0,2.0,0,2018.0
