,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
28915,apple,"Cincinnati, OH",Former Employee - Family Room (Genius/Creative),2.0,3.5,4.1,2.5,3.0,4.0,1,2009.0
28916,apple,"New York, NY",Former Employee - Mac Specialist,3.0,4.0,4.1,2.0,4.0,3.0,1,2009.0
28917,apple,"Honolulu, HI",Former Employee - Mac Specialist (Apple Store),4.0,4.5,4.1,4.0,3.5,4.0,0,2009.0
28918,apple,"Townshipin Cities, MN",Former Employee - Mac Genius,2.0,1.0,4.1,2.5,4.5,1.0,1,2009.0
28919,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,4.0,4.1,2.0,3.5,4.0,0,2009.0
28920,apple,"Cupertino, CA",Former Employee - Anonymous Employee,3.0,2.5,4.1,2.0,3.0,2.0,3,2009.0
28921,apple,"Elk Grove, CA",Current Employee - IST,5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
28922,apple,"Salt Lake City, UT",Current Employee - Anonymous Employee,2.0,3.5,4.1,3.0,4.0,4.0,0,2009.0
28923,apple,"Cupertino, CA",Former Employee - Anonymous Employee,4.0,4.5,4.1,3.0,2.0,3.0,0,2009.0
28924,apple,"Colorado Springs, CO",Current Employee - Mac Specialist (Apple Store),2.0,2.5,4.1,2.0,3.5,2.0,3,2009.0
28925,apple,"Cupertino, CA",Former Employee - Engineering Project Manager,3.0,2.0,4.1,4.5,4.5,3.5,2,2009.0
28926,apple,"New York, NY",Former Employee - Anonymous Employee,2.0,4.0,4.1,1.0,5.0,1.0,2,2009.0
28927,apple,"Cupertino, CA",Former Employee - Hardware Engineer,5.0,5.0,4.1,4.0,4.5,4.0,3,2009.0
28928,apple,"Cupertino, CA",Current Employee - Systems Administrator,4.0,4.0,4.1,4.0,4.0,4.0,2,2009.0
28929,apple,"Edison, NJ",Former Employee - Mac Specialist (Apple Store),1.0,1.0,4.1,1.0,1.5,1.0,8,2009.0
28930,apple,"San Francisco, CA",Current Employee - Mac Specialist (Apple Store),3.0,4.0,4.1,1.0,1.0,3.0,0,2009.0
28931,apple,"Austin, TX",Current Employee - Mac Genius,4.0,5.0,4.1,2.0,4.5,3.0,0,2009.0
28932,apple,"Austin, TX",Current Employee - Apple Online Store Order Maintenance Representative,4.0,4.0,4.1,3.5,3.0,3.5,3,2009.0
28933,apple,"Cupertino, CA",Current Employee - Senior Engineering Manager,5.0,4.0,4.1,5.0,4.5,5.0,1,2009.0
28934,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,4.0,4.1,4.0,2.0,4.0,0,2009.0
28935,apple,"Cupertino, CA",Former Employee - Anonymous Employee,5.0,4.0,4.1,4.5,4.0,5.0,0,2009.0
28936,apple,"Cupertino, CA",Current Employee - Marketing Manager,4.0,3.0,4.1,3.0,3.5,3.0,0,2009.0
28937,apple,"Chicago, IL",Current Employee - Anonymous Employee,5.0,5.0,4.1,5.0,4.5,5.0,2,2009.0
28938,apple,"New York, NY",Former Employee - Mac Specialist (Apple Store),5.0,4.5,4.1,5.0,4.5,4.0,0,2009.0
28939,apple,"Cupertino, CA",Current Employee - Senior Hardware Engineer,4.0,2.5,4.1,4.0,4.0,5.0,1,2009.0
28940,apple,"Cupertino, CA",Current Employee - Software Engineer,4.0,3.5,4.1,5.0,4.0,5.0,3,2009.0
28941,apple,"Phoenix, AZ",Current Employee - Genius,2.0,1.5,4.1,2.0,2.5,2.5,3,2009.0
28942,apple,"Cupertino, CA",Current Employee - Senior Software Engineer,1.0,1.0,4.1,1.0,2.5,1.0,42,2009.0
28943,apple,"Raleigh, NC",Former Employee - Mac Specialist (Apple Store),5.0,4.5,4.1,4.0,4.5,4.5,0,2009.0
28944,apple,"Cupertino, CA",Current Employee - Engineer,3.0,2.5,4.1,3.5,4.5,4.5,2,2009.0
28945,apple,"Cupertino, CA",Current Employee - Software Engineer II,2.0,3.0,4.1,1.0,4.0,4.0,6,2009.0
28946,apple,"Edison, NJ",Former Employee - Mac Genius,4.0,4.5,4.1,4.0,5.0,4.0,2,2009.0
28947,apple,"Cupertino, CA",Current Employee - Hardware Engineering Manager,4.0,3.0,4.1,5.0,4.0,4.5,1,2009.0
28948,apple,"Costa Mesa, CA",Former Employee - Mac Specialist (Apple Store),4.0,4.0,4.1,2.5,3.5,5.0,0,2009.0
28949,apple,"Cupertino, CA",Current Employee - Software Engineer IV,4.0,5.0,4.1,4.0,4.5,4.0,10,2009.0
28950,apple,"Cupertino, CA",Former Employee - Marketing Specialist,5.0,2.0,4.1,5.0,5.0,4.5,3,2009.0
28951,apple,"Sacramento, CA",Former Employee - Mac Specialist (Apple Store),4.0,4.0,4.1,3.0,3.5,5.0,1,2009.0
28952,apple,"Los Angeles, CA",Current Employee - Lead Mac Genius,4.0,3.0,4.1,1.5,2.5,4.0,1,2009.0
28953,apple,"Los Angeles, CA",Current Employee - Personal Shopping Specialist,3.0,4.0,4.1,2.5,4.5,1.5,1,2009.0
28954,apple,"Fort Lauderdale, FL",Former Employee - Specialist,5.0,3.5,4.1,4.0,4.0,4.5,0,2009.0
28955,apple,"Elk Grove, CA",Former Employee - Technical Support Agent,3.0,4.5,4.1,2.0,2.0,4.0,3,2009.0
28956,apple,"Escondido, CA",Current Employee - Mac Genius,4.0,3.0,4.1,4.0,3.5,4.0,0,2009.0
28957,apple,"Arlington, VA",Current Employee - Specialist,5.0,5.0,4.1,4.0,4.0,4.0,0,2009.0
28958,apple,"Cupertino, CA",Current Employee - Product Manager,4.0,3.5,4.1,3.5,4.5,4.0,1,2009.0
28959,apple,"Cupertino, CA",Current Employee - QA Engineer,4.0,4.0,4.1,1.0,3.0,3.0,4,2009.0
28960,apple,"Arlington, VA",Current Employee - Mac Specialist (Apple Store),5.0,5.0,4.1,4.0,4.5,4.0,1,2009.0
28961,apple,"Charlotte, NC",Current Employee - Mac Genius,2.0,3.5,4.1,2.5,4.5,2.0,4,2009.0
28962,apple,"Seattle, WA",Former Employee - Software Engineer,4.0,4.5,4.1,3.5,4.5,4.0,0,2009.0
28963,apple,"Providence, RI",Current Employee - Mac Specialist (Apple Store),4.0,4.5,4.1,2.0,3.5,4.0,0,2009.0
28964,apple,"Portland, OR",Former Employee - Customer Care Assistant,1.0,3.0,4.1,3.5,1.5,1.0,11,2009.0
