,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
242,google,"Mountain View, CA",Former Employee - Anonymous Employee,5.0,5.0,4.0,3.0,5.0,5.0,0,2018.0
243,google,"Los Angeles, CA",Former Employee - Worker,5.0,4.0,4.0,5.0,5.0,5.0,1,2018.0
249,google,"San Bruno, CA","Current Employee - Software Engineer, Tools and Infrastructures",5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
251,google,"San Francisco, CA",Current Employee - Intern - Hourly,3.0,4.0,4.0,5.0,3.0,4.0,0,2018.0
253,google,"Mountain View, CA",Former Employee - Google Engineering Practicum,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
255,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
256,google,"Mountain View, CA",Former Employee - SRE,5.0,2.0,4.0,4.0,5.0,2.0,0,2018.0
258,google,"Mountain View, CA",Former Employee - Anonymous Employee,3.0,2.0,3.0,2.0,5.0,3.0,2,2018.0
264,google,"Irvine, CA",Current Employee - Anonymous Employee,3.0,4.0,4.0,5.0,4.0,4.0,0,2018.0
271,google,"Mountain View, CA",Current Employee - Strategic Partner Development Lead,4.0,5.0,4.0,3.0,5.0,4.0,0,2018.0
272,google,"San Francisco, CA",Current Employee - Software Engineer,4.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
273,google,"Mountain View, CA",Former Employee - Intern,4.0,4.0,4.4,4.0,4.4,3.9,1,2018.0
276,google,"Mountain View, CA",Current Employee - Anonymous Employee,1.0,1.0,1.0,1.0,4.4,1.0,7,2018.0
283,google,"Los Angeles, CA",Current Employee - Software Engineer,5.0,5.0,3.0,1.0,5.0,3.0,0,2018.0
284,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
285,google,"Mountain View, CA",Former Employee - SMB Account Executive,4.0,4.0,5.0,4.0,4.0,5.0,0,2018.0
293,google,"Mountain View, CA",Former Employee - Director,4.0,4.0,5.0,3.0,5.0,5.0,6,2018.0
296,google,"San Francisco, CA",Current Employee - Anonymous Employee,4.0,4.0,5.0,5.0,5.0,5.0,4,2018.0
298,google,"Mountain View, CA",Current Employee - Head of A Department,3.0,3.0,4.0,3.0,2.0,3.0,2,2018.0
309,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,3.0,5.0,5.0,5.0,5.0,0,2018.0
314,google,"Mountain View, CA",Current Employee - Anonymous Employee,1.0,1.0,1.0,1.0,1.0,1.0,1,2018.0
315,google,"Mountain View, CA",Former Employee - Certified Massage Therapist,4.0,3.0,5.0,4.0,5.0,4.0,1,2018.0
316,google,"Mountain View, CA",Former Employee - Artificial Intelligence Scientist,5.0,2.0,5.0,5.0,4.0,5.0,1,2018.0
319,google,"San Diego, CA",Current Employee - Technical Architect,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
321,google,"Mountain View, CA",Current Employee - Product Manager,1.0,3.0,3.0,1.0,5.0,1.0,8,2018.0
328,google,"Mountain View, CA",Current Employee - Solutions Consultant,3.0,3.0,5.0,4.0,1.0,3.0,7,2018.0
332,google,"Mountain View, CA",Current Employee - Software Engineer,4.0,3.0,4.0,5.0,4.0,3.0,0,2018.0
335,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
336,google,"Mountain View, CA",Current Employee - Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
346,google,"Mountain View, CA",Former Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
351,google,"San Jose, CA",Former Employee - Intern,3.0,5.0,3.0,1.0,5.0,3.0,1,2018.0
