,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
21074,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
21075,facebook,"Menlo Park, CA",Current Employee - Senior Software Engineer,1.0,1.0,1.0,1.0,1.0,1.0,24,2018.0
21076,facebook,"Chicago, IL",Current Employee - Technical Sourcer,1.0,2.0,5.0,2.0,5.0,1.0,9,2018.0
21077,facebook,"New York, NY",Current Employee - Sales Operations,4.0,3.0,5.0,4.0,4.0,4.0,0,2018.0
21078,facebook,"Menlo Park, CA",Former Employee - Product Designer,4.0,2.0,4.0,4.0,5.0,4.0,11,2018.0
21079,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21080,facebook,"Menlo Park, CA",Current Employee - Hardware Engineering,5.0,5.0,5.0,5.0,5.0,5.0,5,2018.0
21081,facebook,"Seattle, WA",Current Employee - Technical Sourcer,5.0,4.0,5.0,5.0,5.0,4.0,1,2018.0
21082,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,4.0,5.0,5.0,5.0,5,2018.0
21083,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
21084,facebook,"Menlo Park, CA",Current Employee - Talent Sourcer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21085,facebook,"Los Lunas, NM",Current Employee - Technician,1.0,1.0,1.0,1.0,1.0,1.0,5,2018.0
21086,facebook,"Menlo Park, CA",Current Employee - Technical Sourcer,5.0,4.0,5.0,4.0,5.0,4.0,0,2018.0
21087,facebook,"Menlo Park, CA",Former Employee - Systems Administrator,4.0,2.0,4.0,3.0,5.0,3.0,1,2018.0
21088,facebook,"Menlo Park, CA",Current Employee - Manager,2.0,2.0,3.0,5.0,5.0,3.0,4,2018.0
21089,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,2.0,5.0,5.0,5.0,3.0,1,2018.0
21090,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21091,facebook,"Menlo Park, CA",Current Employee - Data Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21092,facebook,"New York, NY",Former Employee - Creative,3.0,5.0,5.0,2.0,5.0,3.0,16,2018.0
